일자,충전방식,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2023-02-28,급속,5640,4160,3160,2560,3240,4880,7000,13840,18440,22720,25120,29080,32840,28840,27840,30080,29400,28800,25760,23040,19400,14080,11640,7760
2023-03-01,완속,1050,1043,539,427,203,217,273,469,854,1043,1260,1302,1309,1337,1596,1806,2352,2842,3024,2716,2499,2233,1806,1750
2023-03-01,급속,6280,4520,3400,3240,4600,4880,7640,13200,16000,18440,22360,21960,24760,26560,29080,27120,27880,26840,25480,20560,19640,15800,12160,8240
2023-03-02,완속,679,665,448,133,133,147,301,476,917,847,917,1197,1127,1190,1330,1778,2254,2905,3626,3262,2499,2520,2338,2317
2023-03-02,급속,4560,3440,1960,2480,3200,4240,7720,11520,17680,20200,22800,27440,31440,29320,29720,30160,30480,29280,25960,22240,19400,14240,10360,7400
2023-03-03,완속,735,546,343,343,182,182,231,476,938,924,1001,1218,1141,1197,1372,1862,2380,2926,3682,3346,2471,2499,2576,2527
2023-03-03,급속,4400,3760,3600,2680,3520,5800,8800,14000,21560,22240,23960,30440,32560,32320,30120,30760,32200,28040,26080,20680,19160,13880,11680,8680
2023-03-04,완속,868,630,455,322,280,119,273,532,749,924,1204,1106,1456,1526,1400,1666,2009,2282,2520,2254,2282,2037,2142,2072
2023-03-04,급속,4320,3720,4480,3720,4200,5040,8360,11920,15920,20960,22120,24840,28040,25120,27320,26760,25600,22200,20240,15520,13560,12160,8080,5080
2023-03-05,완속,924,574,560,329,287,119,252,434,672,847,1197,1288,1505,1596,1743,1890,2079,2450,2737,2772,2408,2177,1603,1582
2023-03-05,급속,3760,3760,2320,3320,2640,3040,5240,9760,14400,16280,21160,20720,21560,22560,23200,23160,20720,21360,18920,16280,13840,11160,8000,5520
2023-03-06,완속,483,371,364,154,91,140,322,595,903,763,854,952,1008,994,1253,1799,2079,3024,3528,3353,2387,2555,2037,2023
2023-03-06,급속,3360,2880,1920,1920,2400,4320,8000,11440,17080,20040,22360,27600,29400,27480,26480,25240,27520,25600,24400,19680,15800,11960,8360,5960
2023-03-07,완속,777,462,455,161,140,126,182,455,840,763,854,1113,868,1029,1197,1862,2268,2905,3297,3178,2583,2478,2541,2499
2023-03-07,급속,4160,3840,2760,2440,2600,4880,8280,10000,16720,19360,21760,26720,29320,25720,25280,26840,28000,25000,23880,21280,15400,12240,9400,6520
2023-03-08,완속,742,434,434,252,182,161,252,476,840,770,931,1001,952,945,1246,1925,2037,3045,3605,3227,2695,2205,2198,2212
2023-03-08,급속,4240,3800,2840,2360,3240,4800,8040,12160,17120,17080,22280,25160,27880,24720,25240,25480,26960,24280,23360,18240,17160,12600,8720,5600
2023-03-09,완속,854,854,329,224,217,133,301,329,917,728,784,805,1029,959,1092,1631,2191,2919,3472,3213,2639,2709,2240,2163
2023-03-09,급속,4040,2640,2240,3000,3120,4680,7400,10800,16360,19680,21600,25880,27880,26440,24880,25040,26840,27920,23840,18480,17040,12400,9680,6760
2023-03-10,완속,756,735,420,182,168,147,210,455,938,1022,896,1120,1008,1190,1246,1855,2177,2786,3514,3024,2772,2436,2597,2548
2023-03-10,급속,4960,3960,3040,2560,3080,5440,8640,12480,17920,19480,21720,26440,29880,27520,28440,25160,28920,26080,22880,20560,16360,12120,9480,6400
2023-03-11,완속,910,896,511,350,203,175,259,490,721,938,896,1036,1267,1519,1316,1722,2002,2086,2366,2485,2303,2177,1995,1967
2023-03-11,급속,5320,3760,3640,4080,3680,4560,7960,11600,15200,18840,20760,21600,23560,22920,22520,21440,23320,21800,18520,16200,12400,9080,7960,5360
2023-03-12,완속,742,483,406,329,259,112,203,441,595,875,1078,1008,1421,1421,1848,2016,2170,2268,2527,2695,2408,2296,1596,1547
2023-03-12,급속,3160,2680,2760,2560,3040,3480,5080,8600,11120,12840,17320,16040,19160,18480,19920,21120,20800,20920,18600,15320,14160,9600,7480,5120
2023-03-13,완속,490,490,203,133,56,119,210,490,875,868,1064,1141,945,1218,1295,1771,2275,3038,3360,3360,2611,2569,2156,2135
2023-03-13,급속,3880,2800,2080,1800,2600,5000,8360,12400,17600,21680,23280,29440,31200,28960,26440,27640,27680,29720,24960,20760,16600,12480,9840,7200
2023-03-14,완속,777,420,413,126,140,112,322,602,770,875,1043,1176,1197,1127,1477,1736,2387,2849,3605,3304,2744,2457,2359,2303
2023-03-14,급속,4040,3520,2560,2000,3880,4360,9040,12120,19040,20960,23560,29200,31840,27240,28800,28360,29840,27760,25960,20680,17680,13640,10400,6880
2023-03-15,완속,679,476,462,182,105,189,287,434,826,798,1141,987,917,1043,1316,1953,2247,2863,3500,3395,2513,1988,2387,2352
2023-03-15,급속,4920,3920,2800,2720,3400,4440,8080,12040,16520,20040,22520,26840,30040,24400,25960,26080,26360,28560,24680,20680,15560,13120,8480,5880
2023-03-16,완속,756,735,539,203,147,154,210,427,1001,749,1071,1043,966,1162,1351,1701,2401,3052,3150,3353,2639,2464,2464,2422
2023-03-16,급속,5360,3760,2440,2280,3200,4880,8120,12560,17520,20000,23360,27440,29840,26640,26080,26480,27800,26920,25480,22080,16560,12720,10440,7240
2023-03-17,완속,763,644,371,294,161,189,329,455,980,938,931,910,1036,1050,1316,1785,2079,3108,3290,3290,2779,2394,2499,2464
2023-03-17,급속,4320,4320,3760,3360,3400,4880,8680,12800,19920,23560,22080,25920,32200,28680,28320,28240,30560,28120,27480,21840,17880,15400,10960,6960
2023-03-18,완속,819,602,441,280,259,224,252,588,679,1141,1246,1106,1386,1337,1617,1575,1687,2254,2562,2751,2492,2233,1939,1470
2023-03-18,급속,4360,3640,3520,3880,4280,4480,8320,13040,16960,19840,23000,24480,27320,24800,23520,25760,25360,22640,21000,16600,13600,12000,7840,6200
2023-03-19,완속,847,609,483,266,189,161,308,455,693,1078,1232,1267,1253,1561,1610,2002,1995,2555,2821,2604,2660,2198,1834,1771
2023-03-19,급속,4280,3320,2840,2880,3360,3760,6400,10400,13760,18080,21000,22600,21440,23280,22720,23680,22160,22360,20120,16040,13840,10640,8440,5480
2023-03-20,완속,574,553,266,98,91,175,329,455,1015,812,833,1036,1085,1022,1477,1757,2352,2905,3542,3437,2254,2436,2016,1995
